NBA 1960s PLAYER DATABASE
Coverage: 1960-61 through 1969-70
Stats are team-specific decade averages.

========================================================================
Hawks (ATL) — 63 players
========================================================================
1. Bob Pettit* | PF | 27.6 PPG | 16.7 RPG | 3.3 APG | 435 GP | Seasons: 1960-1965
2. Cliff Hagan* | SF | 18.6 PPG | 6.3 RPG | 3.2 APG | 536 GP | Seasons: 1960-1966
3. Zelmo Beaty* | C | 17.4 PPG | 11.2 RPG | 1.5 APG | 501 GP | Seasons: 1963-1969
4. Lenny Wilkens* | PG | 15.5 PPG | 4.9 RPG | 5.5 APG | 555 GP | Seasons: 1961-1968
5. Bill Bridges | PF | 12.6 PPG | 12.0 RPG | 2.7 APG | 505 GP | Seasons: 1963-1969
6. Richie Guerin* | SG | 13.3 PPG | 3.0 RPG | 4.6 APG | 322 GP | Seasons: 1964-1969
7. Paul Silas | PF | 7.8 PPG | 8.8 RPG | 1.2 APG | 363 GP | Seasons: 1965-1969
8. Joe Caldwell | SF | 15.1 PPG | 4.6 RPG | 2.7 APG | 287 GP | Seasons: 1966-1969
9. Clyde Lovellette* | C | 21.3 PPG | 10.0 RPG | 2.1 APG | 175 GP | Seasons: 1960-1962
10. Lou Hudson | SF | 18.4 PPG | 5.6 RPG | 1.8 APG | 207 GP | Seasons: 1967-1969
11. Chico Vaughn | SG | 10.1 PPG | 2.5 RPG | 2.4 APG | 239 GP | Seasons: 1963-1966
12. John Barnhill | SG | 8.7 PPG | 3.1 RPG | 2.8 APG | 223 GP | Seasons: 1963-1966
13. Gene Tormohlen | C | 4.4 PPG | 4.2 RPG | 1.0 APG | 269 GP | Seasons: 1963-1968
14. Mike Farmer | SF | 6.5 PPG | 3.9 RPG | 1.5 APG | 225 GP | Seasons: 1963-1966
15. Al Ferrari | SG | 7.2 PPG | 2.3 RPG | 3.0 APG | 213 GP | Seasons: 1960-1962
16. Johnny McCarthy | PG | 7.9 PPG | 4.0 RPG | 4.9 APG | 169 GP | Seasons: 1960-1962
17. Larry Foust | C | 8.8 PPG | 5.7 RPG | 1.2 APG | 125 GP | Seasons: 1961-1962
18. Si Green | SG | 7.7 PPG | 4.4 RPG | 2.7 APG | 146 GP | Seasons: 1960-1961
19. Don Ohl | SG | 12.4 PPG | 2.2 RPG | 2.7 APG | 107 GP | Seasons: 1968-1969
20. Jim Davis | C | 6.5 PPG | 5.1 RPG | 0.9 APG | 128 GP | Seasons: 1968-1969
21. Fred LaCour | PG | 6.8 PPG | 3.5 RPG | 2.0 APG | 128 GP | Seasons: 1961-1962
22. Dick Snyder | SG | 7.5 PPG | 2.2 RPG | 1.7 APG | 130 GP | Seasons: 1967-1968
23. Rod Thorn | PG | 8.8 PPG | 2.4 RPG | 1.8 APG | 113 GP | Seasons: 1966-1967
24. Walt Hazzard | PG | 11.2 PPG | 3.3 RPG | 5.9 APG | 80 GP | Seasons: 1969
25. Barney Cable | SF | 8.3 PPG | 6.5 RPG | 1.3 APG | 94 GP | Seasons: 1962-1963
